"","name","rating"
"1","Avatar:Special Edition","5.0"
"2","Inception","5.0"
"3","Avatar","5.0"
"4","Pasa Malar","5.0"
"5","Thappad","4.5"
"6","Portrait Of A Lady On Fire","4.5"
"7","Parasite","4.5"
"8","1917","4.5"
"9","Joker","4.5"
"10","Shoplifters","4.5"
"11","Toy Story 4","4.5"
"12","Avengers: Endgame","4.5"
"13","Nagarkirtan","4.5"
"14","Spider-Man: Into The Spider-Verse","4.5"
"15","First Man","4.5"
"16","Searching","4.5"
"17","Deadpool 2","4.5"
"18","Avengers: Infinity War","4.5"
"19","Coco","4.5"
"20","Terminator 2: Judgment Day 3D","4.5"
"21","Dunkirk","4.5"
"22","The Salesman","4.5"
"23","Lion","4.5"
"24","Dangal","4.5"
"25","La La Land","4.5"
"26","Arrival","4.5"
"27","Parched","4.5"
"28","Pink","4.5"
"29","Udta Punjab","4.5"
"30","Thithi","4.5"
